Product ID,Product Name,Category,Sub-Category,Unit Price,Sales,row_number
TEC-PH-5816,Samsung Convoy 3,Technology,Phones,110.99,221.98,311
FUR-CH-5379,Novimex Executive Leather Armchair Black,Furniture,Chairs,412.16,3709.4,303
TEC-PH-5356,Nokia Smart Phone with Caller ID,Technology,Phones,575.02,5175.17,311
TEC-PH-5267,Motorola Smart Phone Cordless,Technology,Phones,578.5,2892.51,311
TEC-CO-6011,Sharp Wireless Fax High-Speed,Technology,Copiers,354.12,2832.96,304
TEC-PH-5842,Samsung Smart Phone with Caller ID,Technology,Phones,572.54,2862.68,311
FUR-CH-5378,Novimex Executive Leather Armchair Adjustable,Furniture,Chairs,455.52,1822.08,303
FUR-TA-3764,Chromcraft Conference Table Fully Assembled,Furniture,Tables,874.14,5244.84,314
FUR-BO-5957,Sauder Facets Collection Library Sky Alder Finish,Furniture,Bookcases,170.98,341.96,302
FUR-CH-4421,Global Push Button Manager's Chair Indigo,Furniture,Chairs,48.71,48.71,303
OFF-AR-5309,Newell 330,Office Supplies,Art,5.98,17.94,300
FUR-TA-3420,Bevis Conference Table Fully Assembled,Furniture,Tables,925.23,4626.15,314
TEC-PH-3807,Cisco Smart Phone with Caller ID,Technology,Phones,654.24,2616.96,311
FUR-CH-4530,Harbour Creations Executive Leather Armchair Adjustable,Furniture,Chairs,317.4,2221.8,303
OFF-AP-4959,KitchenAid Microwave White,Office Supplies,Appliances,308.46,3701.52,299
OFF-AP-3575,Breville Refrigerator Red,Office Supplies,Appliances,467.4,1869.59,299
OFF-ST-3078,Akro Stacking Bins,Office Supplies,Storage,6.31,12.62,312
OFF-AP-4743,Hoover Stove Red,Office Supplies,Appliances,568.47,7958.58,299
TEC-CO-3597,Brother Fax Machine High-Speed,Technology,Copiers,285.07,2565.59,304
OFF-AP-4967,KitchenAid Stove White,Office Supplies,Appliances,568.29,3409.74,299
FUR-TA-4644,Hon Computer Table with Bottom Storage,Furniture,Tables,494.43,1977.72,314
OFF-ST-3744,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,80.98,242.94,312
FUR-CH-5774,SAFCO Executive Leather Armchair Black,Furniture,Chairs,459.0,2754.0,303
OFF-AP-4960,KitchenAid Refrigerator Black,Office Supplies,Appliances,527.37,5273.7,299
TEC-PH-5268,Motorola Smart Phone Full Size,Technology,Phones,428.46,1713.84,311
FUR-TA-4643,Hon Computer Table Fully Assembled,Furniture,Tables,263.31,2106.5,314
FUR-TA-5060,Lesro Conference Table with Bottom Storage,Furniture,Tables,857.58,1715.16,314
OFF-FA-6129,Staples,Office Supplies,Fasteners,30.98,247.84,306
FUR-CH-5443,Office Star Executive Leather Armchair Red,Furniture,Chairs,469.68,1878.72,303
TEC-PH-5841,Samsung Smart Phone VoIP,Technology,Phones,339.33,1696.64,311
TEC-MA-5503,Okidata Inkjet Wireless,Technology,Machines,266.98,2402.86,309
TEC-PH-4389,Geemarc AmpliPOWER60,Technology,Phones,74.24,668.16,311
OFF-AP-3579,Breville Stove Red,Office Supplies,Appliances,505.39,2526.93,299
OFF-ST-4291,Fellowes Super Stor/Drawer Files,Office Supplies,Storage,161.55,323.1,312
TEC-PH-3148,Apple Smart Phone Full Size,Technology,Phones,636.21,3817.26,311
FUR-CH-4840,Iceberg Nesting Folding Chair 19w x 6d x 43h,Furniture,Chairs,46.58,279.46,303
TEC-AC-6340,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc 10/Pack,Technology,Accessories,11.59,34.77,298
TEC-CO-3598,Brother Fax Machine Laser,Technology,Copiers,318.54,4141.02,304
TEC-PH-5269,Motorola Smart Phone with Caller ID,Technology,Phones,645.54,4518.78,311
FUR-BO-5951,Sauder Classic Bookcase Traditional,Furniture,Bookcases,435.99,5667.87,302
OFF-AP-3874,Cuisinart Stove Silver,Office Supplies,Appliances,431.23,3018.62,299
FUR-FU-4072,Eldon Image Series Desk Accessories Ebony,Furniture,Furnishings,12.35,86.45,307
FUR-CH-5441,Office Star Executive Leather Armchair Adjustable,Furniture,Chairs,418.5,2092.5,303
FUR-CH-5380,Novimex Executive Leather Armchair Red,Furniture,Chairs,460.2,2761.2,303
TEC-MA-5007,Konica Inkjet White,Technology,Machines,310.59,2174.13,309
FUR-CH-4531,Harbour Creations Executive Leather Armchair Black,Furniture,Chairs,315.74,3473.14,303
OFF-BI-4372,GBC VeloBind Cover Sets,Office Supplies,Binders,12.35,49.41,301
TEC-CO-3678,Canon Copy Machine Color,Technology,Copiers,263.58,2108.64,304
OFF-LA-3231,Avery 51,Office Supplies,Labels,6.3,18.9,308
FUR-BO-5762,Safco Classic Bookcase Pine,Furniture,Bookcases,439.5,2197.5,302
TEC-CO-4590,Hewlett Wireless Fax Color,Technology,Copiers,381.63,1526.52,304
OFF-BI-2937,"ACCOHIDE 3-Ring Binder Blue 1""",Office Supplies,Binders,3.3,9.91,301
FUR-TA-3766,Chromcraft Conference Table with Bottom Storage,Furniture,Tables,872.67,1745.34,314
OFF-AP-3577,Breville Refrigerator White,Office Supplies,Appliances,465.72,4191.51,299
OFF-PA-4014,EcoTones Memo Sheets,Office Supplies,Paper,4.0,8.0,310
FUR-BO-5760,Safco Classic Bookcase Metal,Furniture,Bookcases,437.61,3063.27,302
OFF-AR-3276,Avery Fluorescent Highlighter Four-Color Set,Office Supplies,Art,2.67,18.7,300
TEC-PH-5839,Samsung Smart Phone Cordless,Technology,Phones,639.0,4473.0,311
TEC-PH-3130,Apple Audio Dock with Caller ID,Technology,Phones,166.89,1502.01,311
TEC-MA-3788,Cisco CP-7937G Unified IP Conference Station Phone,Technology,Machines,347.85,695.7,309
FUR-TA-3779,Chromcraft Wood Table Rectangular,Furniture,Tables,480.09,1920.36,314
FUR-TA-3771,Chromcraft Round Table Rectangular,Furniture,Tables,464.67,1858.68,314
OFF-AP-4497,Hamilton Beach Microwave Black,Office Supplies,Appliances,187.96,2443.48,299
FUR-TA-3422,Bevis Conference Table with Bottom Storage,Furniture,Tables,489.59,3427.15,314
TEC-PH-5355,Nokia Smart Phone Full Size,Technology,Phones,573.62,3441.69,311
TEC-PH-3147,Apple Smart Phone Cordless,Technology,Phones,572.67,2863.35,311
TEC-MA-3329,Bady BDG101FRU Card Printer,Technology,Machines,479.99,1439.98,309
TEC-CO-3599,Brother Ink Color,Technology,Copiers,148.74,1487.4,304
TEC-CO-6010,Sharp Wireless Fax Digital,Technology,Copiers,355.56,3200.04,304
FUR-CH-4654,Hon Executive Leather Armchair Adjustable,Furniture,Chairs,409.24,5729.35,303
TEC-CO-3710,Canon Wireless Fax Laser,Technology,Copiers,378.66,5301.24,304
FUR-BO-3176,Atlantic Metals Mobile 4-Shelf Bookcases Custom Colors,Furniture,Bookcases,238.83,477.67,302
OFF-BI-3324,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders,12.58,88.07,301
OFF-AP-4501,Hamilton Beach Refrigerator Black,Office Supplies,Appliances,414.63,2487.81,299
OFF-AP-4745,Hoover Stove White,Office Supplies,Appliances,566.61,2266.44,299
TEC-CO-3611,Brother Wireless Fax Laser,Technology,Copiers,340.93,3068.36,304
FUR-BO-4849,Ikea Classic Bookcase Mobile,Furniture,Bookcases,414.27,3728.43,302
FUR-TA-5066,Lesro Sheffield Collection Coffee Table End Table Center Table Corner Table,Furniture,Tables,57.1,171.29,314
OFF-AP-4508,Hamilton Beach Stove White,Office Supplies,Appliances,486.43,2432.16,299
OFF-BI-3308,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,4.81,28.85,301
TEC-MA-5572,Panasonic Printer Red,Technology,Machines,224.09,2016.85,309
OFF-AP-4503,Hamilton Beach Refrigerator Silver,Office Supplies,Appliances,450.79,3155.54,299
TEC-PH-3806,Cisco Smart Phone Full Size,Technology,Phones,587.41,3524.47,311
TEC-PH-5840,Samsung Smart Phone Full Size,Technology,Phones,541.82,2167.3,311
TEC-CO-5999,Sharp Fax Machine High-Speed,Technology,Copiers,293.85,1469.25,304
OFF-PA-6512,Xerox 1956,Office Supplies,Paper,5.98,65.78,310
FUR-BO-3891,Dania Classic Bookcase Pine,Furniture,Bookcases,274.74,2472.66,302
FUR-CH-5442,Office Star Executive Leather Armchair Black,Furniture,Chairs,233.72,2570.86,303
OFF-ST-4516,Hanging Personal Folder File,Office Supplies,Storage,15.7,31.4,312
TEC-PH-3149,Apple Smart Phone with Caller ID,Technology,Phones,319.53,2875.77,311
FUR-BO-5948,Sauder Classic Bookcase Metal,Furniture,Bookcases,435.45,1741.8,302
TEC-CO-6012,Sharp Wireless Fax Laser,Technology,Copiers,320.33,1601.64,304
OFF-AP-4738,Hoover Refrigerator White,Office Supplies,Appliances,524.4,3670.8,299
OFF-PA-6557,Xerox 1998,Office Supplies,Paper,5.18,36.29,310
TEC-CO-4593,Hewlett Wireless Fax Laser,Technology,Copiers,380.19,1900.95,304
OFF-BI-3185,"Avery 3 1/2"" Diskette Storage Pages 10/Pack",Office Supplies,Binders,3.13,15.66,301
FUR-BO-3639,Bush Library with Doors Metal,Furniture,Bookcases,363.78,1455.12,302
